palavra,score
queimada em queda,2.5
queimadas em queda,2.5
assoreamento,-2.5
assoreamentos,-2.5
assoreamento diminui,2.0
assoreamentos diminuem,2.0
destruição,-3.5
destruições,-3.5
destruição diminui,2.0
destruições diminuem,2.0
enchente,-2.0
enchentes,-2.0
enchente diminui,2.0
enchentes diminuem,2.0
desmatamento,-3.5
desmatamentos,-3.5
desmatamento diminui,2.5
desmatamentos diminuem,2.5
erosão,-2.5
erosões,-2.5
erosão diminui,2.0
erosões diminuem,2.0
devastação,-3.5
devastações,-3.5
devastação diminui,2.0
devastações diminuem,2.0
perda de biodiversidade,-3.0
perdas de biodiversidade,-3.0
perda de biodiversidade diminui,2.0
perdas de biodiversidade diminuem,2.0
poluição,-2.5
poluições,-2.5
poluição diminui,2.0
poluições diminuem,2.0
fogo,-2.0
fogos,-2.0
fogo diminui,2.0
fogos diminuem,2.0
seca,-2.0
secas,-2.0
seca diminui,2.0
secas diminuem,2.0
extinção,-3.0
extinções,-3.0
extinção diminui,2.0
extinções diminuem,2.0
fragmentação,-2.0
fragmentações,-2.0
fragmentação diminui,2.0
fragmentações diminuem,2.0
degradação,-2.5
degradações,-2.5
degradação diminui,2.0
degradações diminuem,2.0
contaminação,-2.5
contaminações,-2.5
contaminação diminui,2.0
contaminações diminuem,2.0
caça ilegal,-2.5
caças ilegais,-2.5
caça ilegal diminui,2.0
caças ilegais diminuem,2.0
exploração,-2.0
explorações,-2.0
exploração diminui,2.0
explorações diminuem,2.0
agrotóxico,-2.0
agrotóxicos,-2.0
agrotóxico diminui,2.0
agrotóxicos diminuem,2.0
invasão,-1.5
invasões,-1.5
invasão diminui,2.0
invasões diminuem,2.0
perda de habitat,-3.0
perdas de habitat,-3.0
perda de habitat diminui,2.0
perdas de habitat diminuem,2.0
descarte irregular,-2.0
descartes irregulares,-2.0
descarte irregular diminui,2.0
descartes irregulares diminuem,2.0
desertificação,-3.0
desertificações,-3.0
desertificação diminui,2.0
desertificações diminuem,2.0
perda de solo,-2.5
perdas de solo,-2.5
perda de solo diminui,2.0
perdas de solo diminuem,2.0
monocultura,-1.5
monoculturas,-1.5
monocultura diminui,2.0
monoculturas diminuem,2.0
gado solto,-1.0
tráfico de animais,-3.0
tráficos de animais,-3.0
tráfico de animais diminui,2.0
tráficos de animais diminuem,2.0
mineração,-1.5
minerações,-1.5
mineração diminui,2.0
minerações diminuem,2.0
pasto degradado,-2.0
pastos degradados,-2.0
pasto degradado diminui,2.0
pastos degradados diminuem,2.0
descaracterização,-2.0
descaracterizações,-2.0
descaracterização diminui,2.0
descaracterizações diminuem,2.0
pressão antrópica,-2.0
pressões antrópicas,-2.0
pressão antrópica diminui,2.0
pressões antrópicas diminuem,2.0
perda de nascentes,-2.5
perdas de nascentes,-2.5
perda de nascentes diminui,2.0
perdas de nascentes diminuem,2.0
desmatamento ilegal,-3.5
desmatamentos ilegais,-3.5
desmatamento ilegal diminui,2.0
desmatamentos ilegais diminuem,2.0
incêndio,-3.0
incêndios,-3.0
incêndio diminui,2.0
incêndios diminuem,2.0
perda de água,-2.0
perdas de água,-2.0
perda de água diminui,2.0
perdas de água diminuem,2.0
desperdício,-1.5
desperdícios,-1.5
desperdício diminui,2.0
desperdícios diminuem,2.0
invasão urbana,-1.5
invasões urbanas,-1.5
invasão urbana diminui,2.0
invasões urbanas diminuem,2.0
perda de fauna,-2.5
perdas de fauna,-2.5
perda de fauna diminui,2.0
perdas de fauna diminuem,2.0
perda de flora,-2.5
perdas de flora,-2.5
perda de flora diminui,2.0
perdas de flora diminuem,2.0
desflorestamento,-3.0
desflorestamentos,-3.0
desflorestamento diminui,2.0
desflorestamentos diminuem,2.0
perda de recursos,-2.0
perdas de recursos,-2.0
perda de recursos diminui,2.0
perdas de recursos diminuem,2.0
ameaça,-1.5
ameaças,-1.5
ameaça diminui,2.0
ameaças diminuem,2.0
desequilíbrio,-2.0
desequilíbrios,-2.0
desequilíbrio diminui,2.0
desequilíbrios diminuem,2.0
contaminação de rios,-2.5
contaminações de rios,-2.5
contaminação de rios diminui,2.0
contaminações de rios diminuem,2.0
assoreamento de rios,-2.5
assoreamentos de rios,-2.5
assoreamento de rios diminui,2.0
assoreamentos de rios diminuem,2.0
perda de espécies,-3.0
perdas de espécies,-3.0
perda de espécies diminui,2.0
perdas de espécies diminuem,2.0
fragmentação de habitat,-2.5
fragmentações de habitat,-2.5
fragmentação de habitat diminui,2.0
fragmentações de habitat diminuem,2.0
erosão do solo,-2.5
erosões do solo,-2.5
erosão do solo diminui,2.0
erosões do solo diminuem,2.0
perda de cobertura vegetal,-2.5
perdas de cobertura vegetal,-2.5
perda de cobertura vegetal diminui,2.0
perdas de cobertura vegetal diminuem,2.0
perda de qualidade da água,-2.0
perdas de qualidade da água,-2.0
perda de qualidade da água diminui,2.0
perdas de qualidade da água diminuem,2.0
perda de serviços ecossistêmicos,-2.5
perdas de serviços ecossistêmicos,-2.5
perda de serviços ecossistêmicos diminui,2.0
perdas de serviços ecossistêmicos diminuem,2.0
perda de polinizadores,-2.0
perdas de polinizadores,-2.0
perda de polinizadores diminui,2.0
perdas de polinizadores diminuem,2.0
perda de áreas protegidas,-2.5
perdas de áreas protegidas,-2.5
perda de áreas protegidas diminui,2.0
perdas de áreas protegidas diminuem,2.0
perda de áreas de recarga,-2.0
perdas de áreas de recarga,-2.0
perda de áreas de recarga diminui,2.0
perdas de áreas de recarga diminuem,2.0
perda de áreas úmidas,-2.0
perdas de áreas úmidas,-2.0
perda de áreas úmidas diminui,2.0
perdas de áreas úmidas diminuem,2.0
perda de áreas de preservação,-2.5
perdas de áreas de preservação,-2.5
perda de áreas de preservação diminui,2.0
perdas de áreas de preservação diminuem,2.0
perda de áreas de cerrado,-3.0
perdas de áreas de cerrado,-3.0
perda de áreas de cerrado diminui,2.0
perdas de áreas de cerrado diminuem,2.0
perda de áreas naturais,-2.5
perdas de áreas naturais,-2.5
perda de áreas naturais diminui,2.0
perdas de áreas naturais diminuem,2.0
perda de áreas de mata,-2.5
perdas de áreas de mata,-2.5
perda de áreas de mata diminui,2.0
perdas de áreas de mata diminuem,2.0
perda de áreas de vereda,-2.0
perdas de áreas de vereda,-2.0
perda de áreas de vereda diminui,2.0
perdas de áreas de vereda diminuem,2.0
perda de áreas de campo,-2.0
perdas de áreas de campo,-2.0
perda de áreas de campo diminui,2.0
perdas de áreas de campo diminuem,2.0
perda de áreas de savana,-2.0
perdas de áreas de savana,-2.0
perda de áreas de savana diminui,2.0
perdas de áreas de savana diminuem,2.0
perda de áreas de floresta,-2.5
perdas de áreas de floresta,-2.5
perda de áreas de floresta diminui,2.0
perdas de áreas de floresta diminuem,2.0
perda de áreas de brejo,-2.0
perdas de áreas de brejo,-2.0
perda de áreas de brejo diminui,2.0
perdas de áreas de brejo diminuem,2.0
perda de áreas de várzea,-2.0
perdas de áreas de várzea,-2.0
perda de áreas de várzea diminui,2.0
perdas de áreas de várzea diminuem,2.0
conservação,3.0
preservação,3.0
recuperação,2.5
restauração,2.5
proteção,2.0
biodiversidade,2.5
sustentabilidade,2.5
educação ambiental,2.0
manejo sustentável,2.5
unidade de conservação,2.5
parque nacional,2.0
reserva legal,2.0
reserva particular,2.0
área de proteção ambiental,2.0
reflorestamento,2.0
recuperação de nascentes,2.0
monitoramento ambiental,2.0
pesquisa científica,2.0
fauna,1.5
flora,1.5
vereda,1.0
veredas,1.0
mata de galeria,1.0
matas de galeria,1.0
cerrado sensu stricto,1.0
cerrado rupestre,1.0
cerrado denso,1.0
cerrado ralo,1.0
